,,,,Date,01/01/2018,01/06/2018
Butyrolactone,Water,river,kg / year,,,
Cadmium,Water,river,kg / year,,,
Cadmium,Water,ocean,kg / year,,,
Cadmium,Water,"groundwater, long-term",kg / year,,,
Cadmium,Water,groundwater,kg / year,,,
Cadmium,Water,,kg / year,,,
Calcium,Water,river,kg / year,,,
Calcium,Water,ocean,kg / year,,,
Calcium,Water,groundwater,kg / year,,,
Calcium,Water,"groundwater, long-term",kg / year,,,
Calcium,Water,,kg / year,,,
Carbaryl,Water,river,kg / year,,,
Carbaryl,Water,groundwater,kg / year,,,
Carbon,Water,groundwater,kg / year,,,
Carbon-14,Water,river,Bq / year,,,
Carbon disulfide,Water,river,kg / year,,,
Carbonate,Water,river,kg / year,,,
Carbonate,Water,ocean,kg / year,,,
Carbonate,Water,,kg / year,,,
"Carboxylic acids, unspecified",Water,river,kg / year,,,
"Carboxylic acids, unspecified",Water,ocean,kg / year,,,
"Carboxylic acids, unspecified",Water,,kg / year,,,
Cerium-141,Water,river,Bq / year,,,
Cerium-144,Water,river,Bq / year,,,
Cesium,Water,river,kg / year,,,
Cesium,Water,ocean,kg / year,,,
Cesium-134,Water,river,Bq / year,,,
Cesium-136,Water,river,Bq / year,,,
Cesium-137,Water,river,Bq / year,,,
Cesium-137,Water,ocean,Bq / year,,,
Chloramine,Water,river,kg / year,,,
Chlorate,Water,river,kg / year,,,
Chloride,Water,river,kg / year,,,
Chloride,Water,ocean,kg / year,,,
Chloride,Water,"groundwater, long-term",kg / year,,,
Chloride,Water,groundwater,kg / year,,,
Chloride,Water,,kg / year,,,
"Chlorides, unspecified",Water,,kg / year,,,
"Chlorinated solvents, unspecified",Water,river,kg / year,,,
"Chlorinated solvents, unspecified",Water,ocean,kg / year,,,
Chlorine,Water,river,kg / year,,,
Chlorine,Water,groundwater,kg / year,,,
Chlorine,Water,,kg / year,,,
Chloroacetic acid,Water,river,kg / year,,,
Chloroacetyl chloride,Water,river,kg / year,,,
Chloroform,Water,river,kg / year,,,
Chlorosulfonic acid,Water,river,kg / year,,,
Chromium,Water,river,kg / year,,,
Chromium,Water,ocean,kg / year,,,
Chromium,Water,groundwater,kg / year,,,
Chromium,Water,,kg / year,,,
Chromium-51,Water,river,Bq / year,,,
Chromium VI,Water,river,kg / year,,,
Chromium VI,Water,"groundwater, long-term",kg / year,,,
Chromium VI,Water,groundwater,kg / year,,,
Chromium VI,Water,,kg / year,,,
Chrysene,Water,river,kg / year,,,
Cobalt,Water,river,kg / year,,,
Cobalt,Water,ocean,kg / year,,,
Cobalt,Water,"groundwater, long-term",kg / year,,,
Cobalt,Water,groundwater,kg / year,,,
Cobalt,Water,,kg / year,,,
Cobalt-57,Water,river,Bq / year,,,
Cobalt-58,Water,river,Bq / year,,,
Cobalt-60,Water,river,Bq / year,,,
"COD, Chemical Oxygen Demand",Water,river,kg / year,,,
"COD, Chemical Oxygen Demand",Water,ocean,kg / year,,,
"COD, Chemical Oxygen Demand",Water,"groundwater, long-term",kg / year,,,
"COD, Chemical Oxygen Demand",Water,groundwater,kg / year,,,
"COD, Chemical Oxygen Demand",Water,,kg / year,,,
Copper,Water,river,kg / year,,,
Copper,Water,ocean,kg / year,,,
Copper,Water,"groundwater, long-term",kg / year,,,
Copper,Water,groundwater,kg / year,,,
Copper,Water,,kg / year,,,
Cu-HDO,Water,,kg / year,,,
Cumene,Water,river,kg / year,,,
Cyanide,Water,river,kg / year,,,
Cyanide,Water,ocean,kg / year,,,
Cyanide,Water,,kg / year,,,
Cyclohexane,Water,river,kg / year,,,
"Dibenz(a,h)anthracene",Water,river,kg / year,,,
Dicamba,Water,river,kg / year,,,
Dicamba,Water,groundwater,kg / year,,,
Dichlorprop,Water,river,kg / year,,,
Dichlorprop,Water,groundwater,kg / year,,,
Dichromate,Water,river,kg / year,,,
Dichromate,Water,,kg / year,,,
Diethylamine,Water,river,kg / year,,,
Diethylene glycol,Water,river,kg / year,,,
Diisobutyl ketone,Water,river,kg / year,,,
Dimethenamid,Water,river,kg / year,,,
Dimethenamid,Water,groundwater,kg / year,,,
Dimethyl ether,Water,river,kg / year,,,
Dimethylamine,Water,river,kg / year,,,
Dipropylamine,Water,river,kg / year,,,
"DOC, Dissolved Organic Carbon",Water,river,kg / year,,,
"DOC, Dissolved Organic Carbon",Water,ocean,kg / year,,,
"DOC, Dissolved Organic Carbon",Water,"groundwater, long-term",kg / year,,,
"DOC, Dissolved Organic Carbon",Water,groundwater,kg / year,,,
"DOC, Dissolved Organic Carbon",Water,,kg / year,,,
"Ethane, 1,1,1-trichloro-, HCFC-140",Water,river,kg / year,,,
"Ethane, 1,2-dichloro-",Water,river,kg / year,,,
"Ethane, chloro-",Water,river,kg / year,,,
Ethanol,Water,river,kg / year,,,
Ethanol,Water,,kg / year,,,
"Ethanol, 2-ethoxy-",Water,river,kg / year,,,
Ethene,Water,river,kg / year,,,
"Ethene, chloro-",Water,river,kg / year,,,
Ethephon,Water,river,kg / year,,,
Ethephon,Water,groundwater,kg / year,,,
Ethyl acetate,Water,river,kg / year,,,
Ethylamine,Water,river,kg / year,,,
Ethylene diamine,Water,river,kg / year,,,
Ethylene oxide,Water,river,kg / year,,,
Fluoranthene,Water,river,kg / year,,,
Fluorene,Water,river,kg / year,,,
Fluoride,Water,river,kg / year,,,
Fluoride,Water,ocean,kg / year,,,
Fluoride,Water,"groundwater, long-term",kg / year,,,
Fluoride,Water,groundwater,kg / year,,,
Fluoride,Water,,kg / year,,,
Fluosilicic acid,Water,river,kg / year,,,
Fluosilicic acid,Water,,kg / year,,,
Formaldehyde,Water,river,kg / year,,,
Formaldehyde,Water,,kg / year,,,
Formamide,Water,river,kg / year,,,
Formic acid,Water,river,kg / year,,,
"Formic acid, thallium(1+) salt",Water,river,kg / year,,,
Glutaraldehyde,Water,ocean,kg / year,,,
Glyphosate,Water,river,kg / year,,,
Glyphosate,Water,groundwater,kg / year,,,
"Heat, waste",Water,river,MJ / year,,,
Hexane,Water,river,kg / year,,,
"Hydrocarbons, aliphatic, alkanes, unspecified",Water,river,kg / year,,,
"Hydrocarbons, aliphatic, alkanes, unspecified",Water,ocean,kg / year,,,
"Hydrocarbons, aliphatic, unsaturated",Water,river,kg / year,,,
"Hydrocarbons, aliphatic, unsaturated",Water,ocean,kg / year,,,
"Hydrocarbons, aliphatic, unsaturated",Water,,kg / year,,,
"Hydrocarbons, aromatic",Water,river,kg / year,,,
"Hydrocarbons, aromatic",Water,ocean,kg / year,,,
"Hydrocarbons, unspecified",Water,river,kg / year,,,
"Hydrocarbons, unspecified",Water,ocean,kg / year,,,
"Hydrocarbons, unspecified",Water,,kg / year,,,
"Hydrogen-3, Tritium",Water,river,Bq / year,,,
"Hydrogen-3, Tritium",Water,ocean,Bq / year,,,
Hydrogen carbonate,Water,ocean,kg / year,,,
Hydrogen chloride,Water,,kg / year,,,
Hydrogen peroxide,Water,river,kg / year,,,
Hydrogen sulfide,Water,river,kg / year,,,
Hydrogen sulfide,Water,"groundwater, long-term",kg / year,,,
Hydroxide,Water,river,kg / year,,,
Hydroxide,Water,,kg / year,,,
Hypochlorite,Water,river,kg / year,,,
Hypochlorite,Water,ocean,kg / year,,,
"Indeno(1,2,3-cd)pyrene",Water,river,kg / year,,,
Iodide,Water,river,kg / year,,,
Iodide,Water,ocean,kg / year,,,
Iodide,Water,"groundwater, long-term",kg / year,,,
Iodide,Water,groundwater,kg / year,,,
Iodine-131,Water,river,Bq / year,,,
Iodine-133,Water,river,Bq / year,,,
Iron,Water,river,kg / year,,,
Iron,Water,ocean,kg / year,,,
Iron,Water,"groundwater, long-term",kg / year,,,
Iron,Water,groundwater,kg / year,,,
Iron,Water,,kg / year,,,
Iron-59,Water,river,Bq / year,,,
Isopropylamine,Water,river,kg / year,,,
Lactic acid,Water,river,kg / year,,,
Lambda-cyhalothrin,Water,river,kg / year,,,
Lambda-cyhalothrin,Water,groundwater,kg / year,,,
Lanthanum-140,Water,river,Bq / year,,,
Lead,Water,river,kg / year,,,
Lead,Water,ocean,kg / year,,,
Lead,Water,"groundwater, long-term",kg / year,,,
Lead,Water,groundwater,kg / year,,,
Lead,Water,,kg / year,,,
Lead-210,Water,river,Bq / year,,,
Lead-210,Water,ocean,Bq / year,,,
Lead-210,Water,groundwater,Bq / year,,,
Lead-210,Water,,Bq / year,,,
Lithium,Water,river,kg / year,,,
Lithium,Water,groundwater,kg / year,,,
Lithium,Water,,kg / year,,,
m-Xylene,Water,river,kg / year,,,
m-Xylene,Water,,kg / year,,,
Magnesium,Water,river,kg / year,,,
Magnesium,Water,ocean,kg / year,,,
Magnesium,Water,"groundwater, long-term",kg / year,,,
Magnesium,Water,groundwater,kg / year,,,
Magnesium,Water,,kg / year,,,
Manganese,Water,river,kg / year,,,
Manganese,Water,ocean,kg / year,,,
Manganese,Water,"groundwater, long-term",kg / year,,,
Manganese,Water,groundwater,kg / year,,,
Manganese,Water,,kg / year,,,
Manganese-54,Water,river,Bq / year,,,
MCPB,Water,river,kg / year,,,
MCPB,Water,groundwater,kg / year,,,
Mercury,Water,river,kg / year,,,
Mercury,Water,ocean,kg / year,,,
Mercury,Water,"groundwater, long-term",kg / year,,,
Mercury,Water,groundwater,kg / year,,,
Mercury,Water,,kg / year,,,
"Methane, dichloro-, HCC-30",Water,river,kg / year,,,
Methanol,Water,river,kg / year,,,
Methanol,Water,ocean,kg / year,,,
Methanol,Water,,kg / year,,,
Methomyl,Water,river,kg / year,,,
Methomyl,Water,groundwater,kg / year,,,
Methyl acetate,Water,river,kg / year,,,
Methyl acrylate,Water,river,kg / year,,,
Methyl ethyl ketone,Water,river,kg / year,,,
Methyl formate,Water,river,kg / year,,,
Methyl pentane,Water,river,kg / year,,,
Methylamine,Water,river,kg / year,,,
Metolachlor,Water,river,kg / year,,,
Metolachlor,Water,groundwater,kg / year,,,
Molybdenum,Water,river,kg / year,,,
Molybdenum,Water,ocean,kg / year,,,
Molybdenum,Water,"groundwater, long-term",kg / year,,,
Molybdenum,Water,groundwater,kg / year,,,
Molybdenum,Water,,kg / year,,,
Molybdenum-99,Water,river,Bq / year,,,
Monoethanolamine,Water,,kg / year,,,
Naphthalene,Water,river,kg / year,,,
Nickel,Water,river,kg / year,,,
Nickel,Water,ocean,kg / year,,,
Nickel,Water,"groundwater, long-term",kg / year,,,
Nickel,Water,groundwater,kg / year,,,
Nickel,Water,,kg / year,,,
Niobium-95,Water,river,Bq / year,,,
Nitrate,Water,river,kg / year,,,
Nitrate,Water,ocean,kg / year,,,
Nitrate,Water,"groundwater, long-term",kg / year,,,
Nitrate,Water,groundwater,kg / year,,,
Nitrate,Water,,kg / year,,,
Nitrite,Water,river,kg / year,,,
Nitrite,Water,ocean,kg / year,,,
Nitrite,Water,"groundwater, long-term",kg / year,,,
Nitrite,Water,,kg / year,,,
Nitrobenzene,Water,river,kg / year,,,
Nitrogen,Water,river,kg / year,,,
Nitrogen,Water,ocean,kg / year,,,
Nitrogen,Water,groundwater,kg / year,,,
Nitrogen,Water,,kg / year,,,
"Nitrogen, organic bound",Water,river,kg / year,,,
"Nitrogen, organic bound",Water,ocean,kg / year,,,
"Nitrogen, organic bound",Water,"groundwater, long-term",kg / year,,,
"Nitrogen, organic bound",Water,groundwater,kg / year,,,
o-Xylene,Water,,kg / year,,,
"Oils, biogenic",Water,river,kg / year,,,
"Oils, unspecified",Water,river,kg / year,,,
"Oils, unspecified",Water,ocean,kg / year,,,
"Oils, unspecified",Water,,kg / year,,,
Organic carbon,Water,groundwater,kg / year,,,
"PAH, polycyclic aromatic hydrocarbons",Water,river,kg / year,,,
"PAH, polycyclic aromatic hydrocarbons",Water,ocean,kg / year,,,
"PAH, polycyclic aromatic hydrocarbons",Water,groundwater,kg / year,,,
"PAH, polycyclic aromatic hydrocarbons",Water,,kg / year,,,
Paraffins,Water,river,kg / year,,,
Pendimethalin,Water,river,kg / year,,,
Pendimethalin,Water,groundwater,kg / year,,,
Perchlorate,Water,river,kg / year,,,
Permethrin,Water,,kg / year,,,
Phenanthrene,Water,river,kg / year,,,
Phenol,Water,river,kg / year,,,
Phenol,Water,ocean,kg / year,,,
Phenol,Water,,kg / year,,,
Phosphate,Water,river,kg / year,,,
Phosphate,Water,ocean,kg / year,,,
Phosphate,Water,"groundwater, long-term",kg / year,,,
Phosphate,Water,groundwater,kg / year,,,
Phosphate,Water,,kg / year,,,
Phosphorus,Water,river,kg / year,,,
Phosphorus,Water,ocean,kg / year,,,
Phosphorus,Water,groundwater,kg / year,,,
Phosphorus,Water,,kg / year,,,
Polonium-210,Water,river,Bq / year,,,
Polonium-210,Water,ocean,Bq / year,,,
Polonium-210,Water,groundwater,Bq / year,,,
Polychlorinated biphenyls,Water,,kg / year,,,
Potassium,Water,river,kg / year,,,
Potassium,Water,ocean,kg / year,,,
Potassium,Water,"groundwater, long-term",kg / year,,,
Potassium,Water,groundwater,kg / year,,,
Potassium,Water,,kg / year,,,
Potassium-40,Water,river,Bq / year,,,
Potassium-40,Water,ocean,Bq / year,,,
Potassium-40,Water,groundwater,Bq / year,,,
Propanal,Water,river,kg / year,,,
Propene,Water,river,kg / year,,,
Propiconazole,Water,river,kg / year,,,
Propiconazole,Water,groundwater,kg / year,,,
Propionic acid,Water,river,kg / year,,,
Propylamine,Water,river,kg / year,,,
Propylene oxide,Water,river,kg / year,,,
Protactinium-234,Water,river,Bq / year,,,
Prothioconazol,Water,river,kg / year,,,
Prothioconazol,Water,groundwater,kg / year,,,
Pyraclostrobin (prop),Water,river,kg / year,,,
Pyraclostrobin (prop),Water,groundwater,kg / year,,,
Pyrene,Water,river,kg / year,,,
"Radioactive species, alpha emitters",Water,river,Bq / year,,,
"Radioactive species, Nuclides, unspecified",Water,river,Bq / year,,,
"Radioactive species, Nuclides, unspecified",Water,ocean,Bq / year,,,
Radium-224,Water,river,Bq / year,,,
Radium-224,Water,ocean,Bq / year,,,
Radium-226,Water,river,Bq / year,,,
Radium-226,Water,ocean,Bq / year,,,
Radium-226,Water,groundwater,Bq / year,,,
Radium-226,Water,,Bq / year,,,
Radium-228,Water,river,Bq / year,,,
Radium-228,Water,ocean,Bq / year,,,
Radium-228,Water,,Bq / year,,,
Rubidium,Water,river,kg / year,,,
Rubidium,Water,ocean,kg / year,,,
Ruthenium-103,Water,river,Bq / year,,,
Scandium,Water,river,kg / year,,,
Scandium,Water,"groundwater, long-term",kg / year,,,
Scandium,Water,groundwater,kg / year,,,
Selenium,Water,river,kg / year,,,
Selenium,Water,ocean,kg / year,,,
Selenium,Water,"groundwater, long-term",kg / year,,,
Selenium,Water,groundwater,kg / year,,,
Selenium,Water,,kg / year,,,
Silicon,Water,river,kg / year,,,
Silicon,Water,ocean,kg / year,,,
Silicon,Water,"groundwater, long-term",kg / year,,,
Silicon,Water,groundwater,kg / year,,,
Silicon dioxide,Water,river,kg / year,,,
Silver,Water,river,kg / year,,,
Silver,Water,ocean,kg / year,,,
Silver,Water,"groundwater, long-term",kg / year,,,
Silver,Water,groundwater,kg / year,,,
Silver,Water,,kg / year,,,
Silver-110,Water,river,Bq / year,,,
Sodium,Water,river,kg / year,,,
Sodium,Water,ocean,kg / year,,,
Sodium,Water,groundwater,kg / year,,,
Sodium,Water,"groundwater, long-term",kg / year,,,
Sodium,Water,,kg / year,,,
Sodium-24,Water,river,Bq / year,,,
Sodium chlorate,Water,groundwater,kg / year,,,
Sodium formate,Water,river,kg / year,,,
"Solids, inorganic",Water,river,kg / year,,,
"Solids, inorganic",Water,groundwater,kg / year,,,
"Solids, inorganic",Water,,kg / year,,,
Strontium,Water,river,kg / year,,,
Strontium,Water,ocean,kg / year,,,
Strontium,Water,"groundwater, long-term",kg / year,,,
Strontium,Water,groundwater,kg / year,,,
Strontium,Water,,kg / year,,,
Strontium-89,Water,river,Bq / year,,,
Strontium-90,Water,river,Bq / year,,,
Strontium-90,Water,ocean,Bq / year,,,
Sulfate,Water,river,kg / year,,,
Sulfate,Water,ocean,kg / year,,,
Sulfate,Water,"groundwater, long-term",kg / year,,,
Sulfate,Water,groundwater,kg / year,,,
Sulfate,Water,,kg / year,,,
Sulfide,Water,river,kg / year,,,
Sulfide,Water,ocean,kg / year,,,
Sulfite,Water,river,kg / year,,,
Sulfur,Water,river,kg / year,,,
Sulfur,Water,ocean,kg / year,,,
Sulfur,Water,groundwater,kg / year,,,
Sulfur,Water,,kg / year,,,
Sulphur,Water,groundwater,kg / year,,,
"Suspended solids, unspecified",Water,river,kg / year,,,
"Suspended solids, unspecified",Water,ocean,kg / year,,,
"Suspended solids, unspecified",Water,groundwater,kg / year,,,
"Suspended solids, unspecified",Water,,kg / year,,,
t-Butyl methyl ether,Water,river,kg / year,,,
t-Butyl methyl ether,Water,ocean,kg / year,,,
t-Butylamine,Water,river,kg / year,,,
Tebuconazole,Water,river,kg / year,,,
Tebuconazole,Water,groundwater,kg / year,,,
Technetium-99m,Water,river,Bq / year,,,
Tefluthrin,Water,river,kg / year,,,
Tefluthrin,Water,groundwater,kg / year,,,
Tellurium-123m,Water,river,Bq / year,,,
Tellurium-132,Water,river,Bq / year,,,
Thallium,Water,river,kg / year,,,
Thallium,Water,"groundwater, long-term",kg / year,,,
Thallium,Water,groundwater,kg / year,,,
Thallium,Water,,kg / year,,,
Thorium-228,Water,river,Bq / year,,,
Thorium-228,Water,ocean,Bq / year,,,
Thorium-228,Water,groundwater,Bq / year,,,
Thorium-230,Water,river,Bq / year,,,
Thorium-232,Water,river,Bq / year,,,
Thorium-232,Water,groundwater,Bq / year,,,
Thorium-234,Water,river,Bq / year,,,
Tin,Water,river,kg / year,,,
Tin,Water,"groundwater, long-term",kg / year,,,
Tin,Water,groundwater,kg / year,,,
Tin,Water,,kg / year,,,
Titanium,Water,river,kg / year,,,
Titanium,Water,ocean,kg / year,,,
Titanium,Water,"groundwater, long-term",kg / year,,,
Titanium,Water,groundwater,kg / year,,,
Titanium,Water,,kg / year,,,
"TOC, Total Organic Carbon",Water,river,kg / year,,,
"TOC, Total Organic Carbon",Water,ocean,kg / year,,,
"TOC, Total Organic Carbon",Water,"groundwater, long-term",kg / year,,,
"TOC, Total Organic Carbon",Water,groundwater,kg / year,,,
"TOC, Total Organic Carbon",Water,,kg / year,,,
Toluene,Water,river,kg / year,,,
Toluene,Water,ocean,kg / year,,,
Toluene,Water,,kg / year,,,
"Toluene, 2-chloro-",Water,river,kg / year,,,
Tributyltin compounds,Water,ocean,kg / year,,,
Triethylene glycol,Water,river,kg / year,,,
Triethylene glycol,Water,ocean,kg / year,,,
Triethylene glycol,Water,,kg / year,,,
Trifloxystrobin,Water,river,kg / year,,,
Trifloxystrobin,Water,groundwater,kg / year,,,
Trimethylamine,Water,river,kg / year,,,
Tungsten,Water,river,kg / year,,,
Tungsten,Water,"groundwater, long-term",kg / year,,,
Tungsten,Water,groundwater,kg / year,,,
Uranium-234,Water,river,Bq / year,,,
Uranium-235,Water,river,Bq / year,,,
Uranium-238,Water,river,Bq / year,,,
Uranium-238,Water,ocean,Bq / year,,,
Uranium-238,Water,groundwater,Bq / year,,,
Uranium alpha,Water,river,Bq / year,,,
Urea,Water,river,kg / year,,,
Vanadium,Water,river,kg / year,,,
Vanadium,Water,ocean,kg / year,,,
Vanadium,Water,"groundwater, long-term",kg / year,,,
Vanadium,Water,groundwater,kg / year,,,
Vanadium,Water,,kg / year,,,
"VOC, volatile organic compounds, unspecified origin",Water,river,kg / year,,,
"VOC, volatile organic compounds, unspecified origin",Water,ocean,kg / year,,,
"VOC, volatile organic compounds, unspecified origin",Water,,kg / year,,,
"Water, AT",Water,river,m3 / year,,,
"Water, AT",Water,ocean,m3 / year,,,
"Water, AT",Water,groundwater,m3 / year,,,
"Water, AT",Water,,m3 / year,,,
"Water, AU",Water,river,m3 / year,,,
"Water, AU",Water,groundwater,m3 / year,,,
"Water, AU",Water,,m3 / year,,,
"Water, BA",Water,,m3 / year,,,
"Water, BE",Water,river,m3 / year,,,
"Water, BE",Water,ocean,m3 / year,,,
"Water, BE",Water,groundwater,m3 / year,,,
"Water, BE",Water,,m3 / year,,,
"Water, BG",Water,river,m3 / year,,,
"Water, BG",Water,ocean,m3 / year,,,
"Water, BG",Water,groundwater,m3 / year,,,
"Water, BG",Water,,m3 / year,,,
"Water, BR",Water,river,m3 / year,,,
"Water, BR",Water,groundwater,m3 / year,,,
"Water, BR",Water,,m3 / year,,,
"Water, CA",Water,river,m3 / year,,,
"Water, CA",Water,ocean,m3 / year,,,
"Water, CA",Water,groundwater,m3 / year,,,
"Water, CA",Water,,m3 / year,,,
"Water, CH",Water,river,m3 / year,,,
"Water, CH",Water,ocean,m3 / year,,,
"Water, CH",Water,groundwater,m3 / year,,,
"Water, CH",Water,,m3 / year,,,
"Water, CL",Water,,m3 / year,,,
"Water, CN",Water,river,m3 / year,,,
"Water, CN",Water,ocean,m3 / year,,,
"Water, CN",Water,groundwater,m3 / year,,,
"Water, CN",Water,,m3 / year,,,
"Water, CO",Water,river,m3 / year,,,
"Water, CO",Water,groundwater,m3 / year,,,
"Water, CY",Water,,m3 / year,,,
"Water, CZ",Water,river,m3 / year,,,
"Water, CZ",Water,ocean,m3 / year,,,
"Water, CZ",Water,groundwater,m3 / year,,,
"Water, CZ",Water,,m3 / year,,,
"Water, DE",Water,river,m3 / year,,,
"Water, DE",Water,ocean,m3 / year,,,
"Water, DE",Water,groundwater,m3 / year,,,
"Water, DE",Water,,m3 / year,,,
"Water, DK",Water,river,m3 / year,,,
"Water, DK",Water,ocean,m3 / year,,,
"Water, DK",Water,groundwater,m3 / year,,,
"Water, DK",Water,,m3 / year,,,
"Water, EE",Water,river,m3 / year,,,
"Water, EE",Water,groundwater,m3 / year,,,
"Water, EE",Water,,m3 / year,,,
"Water, ES",Water,river,m3 / year,,,
"Water, ES",Water,ocean,m3 / year,,,
"Water, ES",Water,groundwater,m3 / year,,,
"Water, ES",Water,,m3 / year,,,
"Water, Europe without Switzerland",Water,river,m3 / year,,,
"Water, Europe without Switzerland",Water,groundwater,m3 / year,,,
"Water, Europe without Switzerland",Water,,m3 / year,,,
"Water, FI",Water,river,m3 / year,,,
"Water, FI",Water,ocean,m3 / year,,,
"Water, FI",Water,groundwater,m3 / year,,,
"Water, FI",Water,,m3 / year,,,
"Water, FR",Water,river,m3 / year,,,
"Water, FR",Water,ocean,m3 / year,,,
"Water, FR",Water,groundwater,m3 / year,,,
"Water, FR",Water,,m3 / year,,,
"Water, GB",Water,river,m3 / year,,,
"Water, GB",Water,ocean,m3 / year,,,
"Water, GB",Water,groundwater,m3 / year,,,
"Water, GB",Water,,m3 / year,,,
"Water, GLO",Water,river,m3 / year,,,
"Water, GLO",Water,ocean,m3 / year,,,
"Water, GLO",Water,groundwater,m3 / year,,,
"Water, GLO",Water,,m3 / year,,,
"Water, GR",Water,river,m3 / year,,,
"Water, GR",Water,groundwater,m3 / year,,,
"Water, GR",Water,,m3 / year,,,
"Water, HR",Water,river,m3 / year,,,
"Water, HR",Water,groundwater,m3 / year,,,
"Water, HR",Water,,m3 / year,,,
"Water, HU",Water,river,m3 / year,,,
"Water, HU",Water,ocean,m3 / year,,,
"Water, HU",Water,groundwater,m3 / year,,,
"Water, HU",Water,,m3 / year,,,
"Water, IAI Area 1",Water,river,m3 / year,,,
"Water, IAI Area 1",Water,ocean,m3 / year,,,
"Water, IAI Area 1",Water,,m3 / year,,,
"Water, IAI Area 2, without Quebec",Water,river,m3 / year,,,
"Water, IAI Area 2, without Quebec",Water,ocean,m3 / year,,,
"Water, IAI Area 2, without Quebec",Water,,m3 / year,,,
"Water, IAI Area 3",Water,river,m3 / year,,,
"Water, IAI Area 3",Water,ocean,m3 / year,,,
"Water, IAI Area 3",Water,,m3 / year,,,
"Water, IAI Area 4&5 without China",Water,river,m3 / year,,,
"Water, IAI Area 4&5 without China",Water,ocean,m3 / year,,,
"Water, IAI Area 4&5 without China",Water,,m3 / year,,,
"Water, IAI Area 8",Water,river,m3 / year,,,
"Water, IAI Area 8",Water,ocean,m3 / year,,,
"Water, IAI Area 8",Water,,m3 / year,,,
"Water, IAI Area, EU27 & EFTA",Water,river,m3 / year,,,
"Water, IAI Area, EU27 & EFTA",Water,ocean,m3 / year,,,
"Water, IAI Area, EU27 & EFTA",Water,,m3 / year,,,
"Water, IAI Area, Europe outside EU & EFTA",Water,river,m3 / year,,,
"Water, IAI Area, Europe outside EU & EFTA",Water,ocean,m3 / year,,,
"Water, IAI Area, Europe outside EU & EFTA",Water,,m3 / year,,,
"Water, ID",Water,,m3 / year,,,
"Water, IE",Water,river,m3 / year,,,
"Water, IE",Water,groundwater,m3 / year,,,
"Water, IE",Water,,m3 / year,,,
"Water, IL",Water,,m3 / year,,,
"Water, IN",Water,river,m3 / year,,,
"Water, IN",Water,groundwater,m3 / year,,,
"Water, IN",Water,,m3 / year,,,
"Water, IR",Water,river,m3 / year,,,
"Water, IR",Water,groundwater,m3 / year,,,
"Water, IR",Water,,m3 / year,,,
"Water, IS",Water,,m3 / year,,,
"Water, IT",Water,river,m3 / year,,,
"Water, IT",Water,ocean,m3 / year,,,
"Water, IT",Water,groundwater,m3 / year,,,
"Water, IT",Water,,m3 / year,,,
"Water, JP",Water,river,m3 / year,,,
"Water, JP",Water,ocean,m3 / year,,,
"Water, JP",Water,groundwater,m3 / year,,,
"Water, JP",Water,,m3 / year,,,
"Water, KR",Water,river,m3 / year,,,
"Water, KR",Water,ocean,m3 / year,,,
"Water, KR",Water,groundwater,m3 / year,,,
"Water, KR",Water,,m3 / year,,,
"Water, LT",Water,river,m3 / year,,,
"Water, LT",Water,groundwater,m3 / year,,,
"Water, LT",Water,,m3 / year,,,
"Water, LU",Water,river,m3 / year,,,
"Water, LU",Water,ocean,m3 / year,,,
"Water, LU",Water,groundwater,m3 / year,,,
"Water, LU",Water,,m3 / year,,,
"Water, LV",Water,river,m3 / year,,,
"Water, LV",Water,groundwater,m3 / year,,,
"Water, LV",Water,,m3 / year,,,
"Water, MA",Water,,m3 / year,,,
"Water, MK",Water,,m3 / year,,,
"Water, MT",Water,,m3 / year,,,
"Water, MX",Water,river,m3 / year,,,
"Water, MX",Water,groundwater,m3 / year,,,
"Water, MX",Water,,m3 / year,,,
"Water, MY",Water,river,m3 / year,,,
"Water, MY",Water,groundwater,m3 / year,,,
"Water, MY",Water,,m3 / year,,,
"Water, NL",Water,river,m3 / year,,,
"Water, NL",Water,ocean,m3 / year,,,
"Water, NL",Water,groundwater,m3 / year,,,
"Water, NL",Water,,m3 / year,,,
"Water, NO",Water,river,m3 / year,,,
"Water, NO",Water,ocean,m3 / year,,,
"Water, NO",Water,groundwater,m3 / year,,,
"Water, NO",Water,,m3 / year,,,
"Water, NORDEL",Water,,m3 / year,,,
"Water, PE",Water,river,m3 / year,,,
"Water, PE",Water,groundwater,m3 / year,,,
"Water, PE",Water,,m3 / year,,,
"Water, PG",Water,,m3 / year,,,
"Water, PH",Water,river,m3 / year,,,
"Water, PH",Water,groundwater,m3 / year,,,
"Water, PH",Water,,m3 / year,,,
"Water, PL",Water,river,m3 / year,,,
"Water, PL",Water,ocean,m3 / year,,,
"Water, PL",Water,groundwater,m3 / year,,,
"Water, PL",Water,,m3 / year,,,
"Water, PT",Water,river,m3 / year,,,
"Water, PT",Water,ocean,m3 / year,,,
"Water, PT",Water,groundwater,m3 / year,,,
"Water, PT",Water,,m3 / year,,,
"Water, RAF",Water,,m3 / year,,,
"Water, RAS",Water,,m3 / year,,,
"Water, RER",Water,river,m3 / year,,,
"Water, RER",Water,ocean,m3 / year,,,
"Water, RER",Water,groundwater,m3 / year,,,
"Water, RER",Water,,m3 / year,,,
"Water, RLA",Water,,m3 / year,,,
"Water, RME",Water,,m3 / year,,,
"Water, RNA",Water,river,m3 / year,,,
