"Acronym, Common Name or Chemical Name",Chemical Formula,Lifetime (Years),Radiative Efficiency (W m-2 ppb-1),AGWP 20-year (W m-2 yr kg-1),GWP 20-year,AGWP 100-year (W m-2 yr kg-1),GWP 100-year,AGTP 20-year (K kg-1),GTP 20-year,AGTP 50-year (K kg-1),GTP 50-year,AGTP 100-year (K kg-1),GTP 100-year
HFE-569sf2 (HFE-7200),C4F9OC2H5,0.8,0.3,5.21E-12,209,5.21E-12,57,4.52E-14,66,5.97E-15,10,4.29E-15,8
n-HFE-7200,n-C4F 9OC2H5,0.8,0.35,5.92E-12,237,5.92E-12,65,5.14E-14,75,6.78E-15,11,4.87E-15,9
i-HFE-7200,i-C4F9OC2H5,0.8,0.24,4.06E-12,163,4.06E-12,44,3.52E-14,52,4.65E-15,8,3.34E-15,6
HFE-236ca12 (HG-10),CHF2OCF2OCHF2,25,0.65,2.75E-10,11000,4.91E-10,5350,7.06E-12,10300,2.94E-12,4770,7.75E-13,1420
HFE-338pcc13 (HG-01),CHF2OCF2CF2OCHF2,12.9,0.86,2.1E-10,8430,2.67E-10,2910,4.69E-12,6860,9.28E-13,1500,2.42E-13,442
"1,1,1,3,3,3-Hexafluoropropan-2-ol",(CF3)2CHOH,1.9,0.26,1.67E-11,668,1.67E-11,182,1.66E-13,243,1.97E-14,32,1.38E-14,25
HG-02,HF2C-(OCF2CF2)2-OCF2H,12.9,1.24,1.97E-10,7900,2.5E-10,2730,4.4E-12,6430,8.7E-13,1410,2.27E-13,415
HG-03,HF2C-(OCF2CF2)3-OCF2H,12.9,1.76,2.06E-10,8270,2.62E-10,2850,4.6E-12,6730,9.1E-13,1480,2.37E-13,434
HG-20,HF2C-(OCF2)2-OCF2H,25,0.92,2.73E-10,10900,4.86E-10,5300,7E-12,10200,2.91E-12,4730,7.68E-13,1400
HG-21,HF2C-OCF2CF2OCF2OCF2O-CF2H,13.5,1.71,2.76E-10,11100,3.57E-10,3890,6.23E-12,9110,1.31E-12,2120,3.29E-13,602
HG-30,HF2C-(OCF2)3-OCF2H,25,1.65,3.77E-10,15100,6.73E-10,7330,9.68E-12,14100,4.03E-12,6530,1.06E-12,1940
"1-Ethoxy-1,1,2,2,3,3,3-heptafluoropropane",CF3CF2CF2OCH2CH3,0.8,0.28,5.56E-12,223,5.56E-12,61,4.8E-14,70,6.36E-15,10,4.57E-15,8
Fluoroxene,CF3CH2OCH=CH2,0.009856263,0.01,4.97E-15,<1,4.97E-15,<1,3.95E-17,<1,5.58E-18,<1,4.08E-18,<1
"1,1,2,2-Tetrafluoro-1-(fluoromethoxy)ethane",CH2FOCF2CF2H,6.2,0.34,7.68E-11,3080,7.99E-11,871,1.29E-12,1880,1.28E-13,207,6.68E-14,122
"2-Ethoxy-3,3,4,4,5-pentafluorotetrahydro-2,5-bis[1,2,2,2-tetrafluoro-1-(trifluoromethyl)ethyl]-furan",C12H5F19O2,1,0.49,5.09E-12,204,5.09E-12,56,4.53E-14,66,5.86E-15,10,4.19E-15,8
Fluoro(methoxy)methane,CH3OCH2F,0.199863107,0.07,1.15E-12,46,1.15E-12,13,9.34E-15,14,1.3E-15,2,9.46E-16,2
Difluoro(methoxy)methane,CH3OCHF2,1.1,0.17,1.32E-11,528,1.32E-11,144,1.18E-13,173,1.52E-14,25,1.08E-14,20
Fluoro(fluoromethoxy)methane,CH2FOCH2F,0.9,0.19,1.2E-11,479,1.2E-11,130,1.05E-13,153,1.37E-14,22,9.84E-15,18
Difluoro(fluoromethoxy)methane,CH2FOCHF2,3.3,0.3,5.65E-11,2260,5.66E-11,617,6.88E-13,1010,7.11E-14,115,4.69E-14,86
Trifluoro(fluoromethoxy)methane,CH2FOCF3,4.4,0.33,6.82E-11,2730,6.89E-11,751,9.59E-13,1400,9.27E-14,150,5.72E-14,105
HG’-01,CH3OCF2CF2OCH3,2,0.29,2.03E-11,815,2.03E-11,222,2.06E-13,301,2.42E-14,39,1.68E-14,31
HG’-02,CH3O(CF2CF2O)2CH3,2,0.56,2.16E-11,868,2.16E-11,236,2.19E-13,320,2.57E-14,42,1.79E-14,33
